xbox ,ybox ,width ,height,onpix ,xbar ,ybar ,x2bar,y2bar ,xybar ,x2ybar,xy2bar,xedge ,xedgey,yedge ,yedgex,CUM_MEAN(height),CUM_MEAN(onpix ),CUM_MEAN(width ),CUM_MEAN(x2bar),CUM_MEAN(x2ybar),CUM_MEAN(xbar ),CUM_MEAN(xbox ),CUM_MEAN(xedge ),CUM_MEAN(xedgey),CUM_MEAN(xy2bar),CUM_MEAN(xybar ),CUM_MEAN(y2bar ),CUM_MEAN(ybar ),CUM_MEAN(ybox ),CUM_MEAN(yedge ),CUM_MEAN(yedgex),CUM_SUM(height),height * x2bar,height * x2ybar,height * xbar ,height * xedge ,height * xedgey,height * xy2bar,height * xybar ,height * y2bar ,height * ybar ,height * yedge ,height * yedgex,onpix  * x2bar,onpix  * x2ybar,onpix  * xedge ,onpix  * xybar ,onpix  * y2bar ,onpix  * yedge ,onpix  * yedgex,width  * x2bar,width  * x2ybar,width  * xbar ,width  * xedgey,width  * xy2bar,width  * xybar ,width  * y2bar ,width  * ybar ,width  * yedgex,x2bar * x2ybar,x2bar * xbar ,x2bar * xedge ,x2bar * xy2bar,x2bar * xybar ,x2bar * y2bar ,x2bar * ybar ,x2bar * yedge ,x2ybar * xbar ,x2ybar * xedge ,x2ybar * xy2bar,x2ybar * xybar ,x2ybar * y2bar ,x2ybar * ybar ,x2ybar * ybox ,x2ybar * yedgex,xbar  * xbox ,xbar  * xedgey,xbar  * xy2bar,xbar  * xybar ,xbar  * y2bar ,xbar  * ybar ,xbar  * ybox ,xbar  * yedgex,xbox  * xy2bar,xbox  * xybar ,xbox  * ybar ,xbox  * yedgex,xedge  * y2bar ,xedge  * yedge ,xedgey * xy2bar,xedgey * xybar ,xedgey * yedgex,xy2bar * xybar ,xy2bar * y2bar ,xy2bar * ybar ,xy2bar * ybox ,xy2bar * yedgex,xybar  * y2bar ,xybar  * ybar ,xybar  * ybox ,xybar  * yedgex,y2bar  * ybar ,y2bar  * yedge ,y2bar  * yedgex,ybar  * ybox ,ybar  * yedgex,ybox  * yedgex
2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,5.0,1.0,3.0,0.0,10.0,8.0,2.0,0.0,8.0,8.0,6.0,6.0,13.0,8.0,0.0,8.0,5.0,0.0,50.0,40.0,0.0,40.0,40.0,30.0,30.0,65.0,0.0,40.0,0.0,10.0,0.0,6.0,6.0,0.0,8.0,0.0,30.0,24.0,24.0,24.0,18.0,18.0,39.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,60.0,60.0,130.0,80.0,80.0,16.0,64.0,64.0,48.0,48.0,104.0,64.0,64.0,16.0,12.0,26.0,16.0,0.0,0.0,64.0,48.0,64.0,48.0,48.0,104.0,64.0,64.0,36.0,78.0,48.0,48.0,78.0,0.0,48.0,104.0,104.0,64.0
5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,6.0,1.5,3.0,2.5,6.5,9.0,3.5,1.0,8.0,8.5,9.5,5.0,9.0,10.0,2.0,9.0,12.0,35.0,21.0,70.0,14.0,56.0,63.0,91.0,28.0,35.0,28.0,70.0,10.0,6.0,4.0,26.0,8.0,8.0,20.0,15.0,9.0,30.0,24.0,27.0,39.0,12.0,15.0,30.0,15.0,50.0,10.0,45.0,65.0,20.0,25.0,20.0,30.0,6.0,27.0,39.0,12.0,15.0,36.0,30.0,50.0,80.0,90.0,130.0,40.0,50.0,120.0,100.0,45.0,65.0,25.0,50.0,8.0,8.0,72.0,104.0,80.0,117.0,36.0,45.0,108.0,90.0,52.0,65.0,156.0,130.0,20.0,16.0,40.0,60.0,50.0,120.0
4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,6.666666666666667,3.0,4.0,2.3333333333333335,5.333333333333333,9.333333333333334,3.6666666666666665,1.6666666666666667,7.666666666666667,8.0,9.666666666666666,5.333333333333333,8.0,10.333333333333334,2.3333333333333335,9.0,20.0,16.0,24.0,80.0,24.0,56.0,56.0,80.0,48.0,48.0,24.0,72.0,12.0,18.0,18.0,60.0,36.0,18.0,54.0,12.0,18.0,60.0,42.0,42.0,60.0,36.0,36.0,54.0,6.0,20.0,6.0,14.0,20.0,12.0,12.0,6.0,30.0,9.0,21.0,30.0,18.0,18.0,33.0,27.0,40.0,70.0,70.0,100.0,60.0,60.0,110.0,90.0,28.0,40.0,24.0,36.0,18.0,9.0,49.0,70.0,63.0,70.0,42.0,42.0,77.0,63.0,60.0,60.0,110.0,90.0,36.0,18.0,54.0,66.0,54.0,99.0
7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,6.5,3.0,4.5,2.75,5.0,8.25,4.5,2.75,8.25,8.5,8.25,5.5,8.25,10.5,2.25,8.75,26.0,24.0,24.0,30.0,36.0,60.0,60.0,24.0,36.0,54.0,12.0,48.0,12.0,12.0,18.0,12.0,18.0,6.0,24.0,24.0,24.0,30.0,60.0,60.0,24.0,36.0,54.0,48.0,16.0,20.0,24.0,40.0,16.0,24.0,36.0,8.0,20.0,24.0,40.0,16.0,24.0,36.0,44.0,32.0,35.0,50.0,50.0,20.0,30.0,45.0,55.0,40.0,70.0,28.0,63.0,56.0,36.0,12.0,100.0,40.0,80.0,40.0,60.0,90.0,110.0,80.0,24.0,36.0,44.0,32.0,54.0,12.0,48.0,99.0,72.0,88.0
2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,5.4,2.6,4.2,3.4,5.0,8.2,4.0,2.4,8.0,8.6,7.8,5.6,7.8,8.6,2.8,9.0,27.0,6.0,5.0,8.0,1.0,7.0,9.0,6.0,6.0,6.0,5.0,10.0,6.0,5.0,1.0,6.0,6.0,5.0,10.0,18.0,15.0,24.0,21.0,27.0,18.0,18.0,18.0,30.0,30.0,48.0,6.0,54.0,36.0,36.0,36.0,30.0,40.0,5.0,45.0,30.0,30.0,30.0,5.0,50.0,16.0,56.0,72.0,48.0,48.0,48.0,8.0,80.0,18.0,12.0,12.0,20.0,6.0,5.0,63.0,42.0,70.0,54.0,54.0,54.0,9.0,90.0,36.0,36.0,6.0,60.0,36.0,30.0,60.0,6.0,60.0,10.0
4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,5.833333333333333,2.6666666666666665,4.333333333333333,3.8333333333333335,5.166666666666667,8.166666666666666,4.0,2.0,8.0,8.166666666666666,7.333333333333333,6.166666666666667,7.833333333333333,9.0,3.8333333333333335,8.666666666666666,35.0,48.0,48.0,64.0,0.0,64.0,48.0,40.0,72.0,64.0,72.0,56.0,18.0,18.0,0.0,15.0,27.0,27.0,21.0,30.0,30.0,40.0,40.0,30.0,25.0,45.0,40.0,35.0,36.0,48.0,0.0,36.0,30.0,54.0,48.0,54.0,48.0,0.0,36.0,30.0,54.0,48.0,66.0,42.0,32.0,64.0,48.0,40.0,72.0,64.0,88.0,56.0,24.0,20.0,32.0,28.0,0.0,0.0,48.0,40.0,56.0,30.0,54.0,48.0,66.0,42.0,45.0,40.0,55.0,35.0,72.0,81.0,63.0,88.0,56.0,77.0
4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,5.571428571428571,2.857142857142857,4.428571428571429,4.142857142857143,5.285714285714286,8.142857142857142,4.0,2.0,8.0,7.857142857142857,7.285714285714286,6.142857142857143,7.714285714285714,8.0,4.285714285714286,8.857142857142858,39.0,24.0,24.0,32.0,8.0,32.0,24.0,28.0,24.0,28.0,28.0,40.0,24.0,24.0,8.0,28.0,24.0,28.0,40.0,30.0,30.0,40.0,40.0,30.0,35.0,30.0,35.0,50.0,36.0,48.0,12.0,36.0,42.0,36.0,42.0,42.0,48.0,12.0,36.0,42.0,36.0,42.0,12.0,60.0,32.0,64.0,48.0,56.0,48.0,56.0,16.0,80.0,24.0,28.0,28.0,40.0,12.0,14.0,48.0,56.0,80.0,42.0,36.0,42.0,12.0,60.0,42.0,49.0,14.0,70.0,42.0,42.0,60.0,14.0,70.0,20.0
1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,5.125,2.625,4.25,3.875,4.875,8.125,3.625,1.875,7.75,7.875,7.375,5.625,7.0,7.125,4.0,8.625,41.0,4.0,4.0,16.0,2.0,12.0,16.0,16.0,4.0,4.0,4.0,14.0,2.0,2.0,1.0,8.0,2.0,2.0,7.0,6.0,6.0,24.0,18.0,24.0,24.0,6.0,6.0,21.0,4.0,16.0,2.0,16.0,16.0,4.0,4.0,4.0,16.0,2.0,16.0,16.0,4.0,4.0,2.0,14.0,8.0,48.0,64.0,64.0,16.0,16.0,8.0,56.0,8.0,8.0,2.0,7.0,2.0,2.0,48.0,48.0,42.0,64.0,16.0,16.0,8.0,56.0,16.0,16.0,8.0,56.0,4.0,4.0,14.0,2.0,14.0,7.0
2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,5.0,2.5555555555555554,4.222222222222222,3.6666666666666665,4.777777777777778,8.333333333333334,3.4444444444444446,1.7777777777777777,7.555555555555555,7.888888888888889,7.888888888888889,5.666666666666667,6.888888888888889,6.555555555555555,3.6666666666666665,8.444444444444445,45.0,8.0,16.0,40.0,4.0,24.0,32.0,48.0,24.0,24.0,4.0,28.0,4.0,8.0,2.0,24.0,12.0,2.0,14.0,8.0,16.0,40.0,24.0,32.0,48.0,24.0,24.0,28.0,8.0,20.0,2.0,16.0,24.0,12.0,12.0,2.0,40.0,4.0,32.0,48.0,24.0,24.0,8.0,28.0,20.0,60.0,80.0,120.0,60.0,60.0,20.0,70.0,16.0,24.0,12.0,14.0,6.0,1.0,48.0,72.0,42.0,96.0,48.0,48.0,16.0,56.0,72.0,72.0,24.0,84.0,36.0,6.0,42.0,12.0,42.0,14.0
11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,5.4,3.0,5.1,3.9,4.4,8.8,4.2,2.4,6.9,8.0,8.3,5.3,6.4,7.4,3.4,8.4,54.0,54.0,9.0,117.0,72.0,9.0,81.0,108.0,18.0,18.0,9.0,72.0,42.0,7.0,56.0,84.0,14.0,7.0,56.0,78.0,13.0,169.0,13.0,117.0,156.0,26.0,26.0,104.0,6.0,78.0,48.0,54.0,72.0,12.0,12.0,6.0,13.0,8.0,9.0,12.0,2.0,2.0,15.0,8.0,143.0,13.0,117.0,156.0,26.0,26.0,195.0,104.0,99.0,132.0,22.0,88.0,16.0,8.0,9.0,12.0,8.0,108.0,18.0,18.0,135.0,72.0,24.0,24.0,180.0,96.0,4.0,2.0,16.0,30.0,16.0,120.0
3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,5.545454545454546,3.090909090909091,5.090909090909091,3.8181818181818183,4.545454545454546,8.727272727272727,4.090909090909091,2.3636363636363638,7.0,8.0,8.0,5.545454545454546,6.454545454545454,7.545454545454546,3.6363636363636362,8.272727272727273,61.0,21.0,42.0,56.0,14.0,56.0,56.0,35.0,56.0,49.0,42.0,49.0,12.0,24.0,8.0,20.0,32.0,24.0,28.0,15.0,30.0,40.0,40.0,40.0,25.0,40.0,35.0,35.0,18.0,24.0,6.0,24.0,15.0,24.0,21.0,18.0,48.0,12.0,48.0,30.0,48.0,42.0,54.0,42.0,24.0,64.0,64.0,40.0,64.0,56.0,72.0,56.0,24.0,15.0,21.0,21.0,16.0,12.0,64.0,40.0,56.0,40.0,64.0,56.0,72.0,56.0,40.0,35.0,45.0,35.0,56.0,48.0,56.0,63.0,49.0,63.0
6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,5.666666666666667,3.1666666666666665,5.0,4.0,4.75,8.5,4.25,2.5833333333333335,7.166666666666667,8.083333333333334,8.166666666666666,5.333333333333333,6.5,8.0,3.75,8.25,68.0,42.0,49.0,42.0,35.0,63.0,63.0,70.0,21.0,49.0,35.0,56.0,24.0,28.0,20.0,40.0,12.0,20.0,32.0,24.0,28.0,24.0,36.0,36.0,40.0,12.0,28.0,32.0,42.0,36.0,30.0,54.0,60.0,18.0,42.0,30.0,42.0,35.0,63.0,70.0,21.0,49.0,91.0,56.0,36.0,54.0,54.0,60.0,18.0,42.0,78.0,48.0,54.0,60.0,42.0,48.0,15.0,25.0,81.0,90.0,72.0,90.0,27.0,63.0,117.0,72.0,30.0,70.0,130.0,80.0,21.0,15.0,24.0,91.0,56.0,104.0
